Island,Line,Start-X,Start-Y,End-X,End-Y,Z,
0,0,5.51,1.00,1.01,3.60,0,
0,1,1.01,3.60,5.51,6.20,0,
0,2,5.51,6.20,5.51,1.00,0,
0,0,5.26,1.43,1.51,3.60,0.5,
0,1,1.51,3.60,5.26,5.77,0.5,
0,2,5.26,5.77,5.26,1.43,0.5,
0,0,5.01,1.87,2.01,3.60,1,
0,1,2.01,3.60,5.01,5.33,1,
0,2,5.01,5.33,5.01,1.87,1,
0,0,4.76,2.30,2.51,3.60,1.5,
0,1,2.51,3.60,4.76,4.90,1.5,
0,2,4.76,4.90,4.76,2.30,1.5,
0,0,4.51,2.73,3.01,3.60,2,
0,1,3.01,3.60,4.51,4.47,2,
0,2,4.51,4.47,4.51,2.73,2,
1,0,5.75,6.12,5.75,1.49,2,
1,1,5.75,1.49,5.75,1.12,2,
1,2,5.75,1.12,1.12,1.12,2,
1,3,1.12,1.12,0.75,1.12,2,
1,4,0.75,1.12,0.75,5.75,2,
1,5,0.75,5.75,0.75,6.12,2,
1,6,0.75,6.12,5.38,6.12,2,
1,7,5.38,6.12,5.75,6.12,2,
0,0,4.26,3.17,3.51,3.60,2.5,
0,1,3.51,3.60,4.26,4.03,2.5,
0,2,4.26,4.03,4.26,3.17,2.5,
1,0,5.75,6.12,5.75,2.32,2.5,
1,1,5.75,2.32,5.75,1.12,2.5,
1,2,5.75,1.12,1.95,1.12,2.5,
1,3,1.95,1.12,0.75,1.12,2.5,
1,4,0.75,1.12,0.75,4.92,2.5,
1,5,0.75,4.92,0.75,6.12,2.5,
1,6,0.75,6.12,4.55,6.12,2.5,
1,7,4.55,6.12,5.75,6.12,2.5,
0,0,5.75,6.12,5.75,3.15,3,
0,1,5.75,3.15,5.75,1.12,3,
0,2,5.75,1.12,2.78,1.12,3,
0,3,2.78,1.12,0.75,1.12,3,
0,4,0.75,1.12,0.75,4.09,3,
0,5,0.75,4.09,0.75,6.12,3,
0,6,0.75,6.12,3.72,6.12,3,
0,7,3.72,6.12,5.75,6.12,3,
0,0,5.75,6.12,5.75,3.99,3.5,
0,1,5.75,3.99,5.75,1.12,3.5,
0,2,5.75,1.12,3.62,1.12,3.5,
0,3,3.62,1.12,0.75,1.12,3.5,
0,4,0.75,1.12,0.75,3.25,3.5,
0,5,0.75,3.25,0.75,6.12,3.5,
0,6,0.75,6.12,2.88,6.12,3.5,
0,7,2.88,6.12,5.75,6.12,3.5,
0,0,5.75,6.12,5.75,4.82,4,
0,1,5.75,4.82,5.75,1.12,4,
0,2,5.75,1.12,4.45,1.12,4,
0,3,4.45,1.12,0.75,1.12,4,
0,4,0.75,1.12,0.75,2.42,4,
0,5,0.75,2.42,0.75,6.12,4,
0,6,0.75,6.12,2.05,6.12,4,
0,7,2.05,6.12,5.75,6.12,4,
0,0,5.75,6.12,5.75,5.65,4.5,
0,1,5.75,5.65,5.75,1.12,4.5,
0,2,5.75,1.12,5.28,1.12,4.5,
0,3,5.28,1.12,0.75,1.12,4.5,
0,4,0.75,1.12,0.75,1.59,4.5,
0,5,0.75,1.59,0.75,6.12,4.5,
0,6,0.75,6.12,1.22,6.12,4.5,
0,7,1.22,6.12,5.75,6.12,4.5,
