Island,Line,Start-X,Start-Y,End-X,End-Y,Z,
0,0,5.50,1.00,1.00,3.60,0,
0,1,1.00,3.60,5.50,6.20,0,
0,2,5.50,6.20,5.50,1.00,0,
0,0,5.25,1.43,1.50,3.60,0.5,
0,1,1.50,3.60,5.25,5.77,0.5,
0,2,5.25,5.77,5.25,1.43,0.5,
0,0,5.00,1.87,2.00,3.60,1,
0,1,2.00,3.60,5.00,5.33,1,
0,2,5.00,5.33,5.00,1.87,1,
0,0,4.75,2.30,2.50,3.60,1.5,
0,1,2.50,3.60,4.75,4.90,1.5,
0,2,4.75,4.90,4.75,2.30,1.5,
0,0,4.50,2.73,3.00,3.60,2,
0,1,3.00,3.60,4.50,4.47,2,
0,2,4.50,4.47,4.50,2.73,2,
0,0,4.25,3.17,3.50,3.60,2.5,
0,1,3.50,3.60,4.25,4.03,2.5,
0,2,4.25,4.03,4.25,3.17,2.5,
